EVI,NDVI,date,gid,name
1326.615262711588,2485.73591845202,2000-04-06T00:00:00,10,N
1724.515217360591,3216.9400333152917,2000-04-06T00:00:00,11,R/C
1417.7579925054151,2599.7214129825893,2000-04-06T00:00:00,22,R/S
1272.6032209492814,2118.628833644311,2000-04-06T00:00:00,23,H/W
1180.9892434982428,2105.980944271418,2000-04-06T00:00:00,24,L
1749.4911185365631,3040.8501229053886,2000-04-06T00:00:00,12,S
1816.6118439480774,3301.1958265490584,2000-04-06T00:00:00,13,T
1610.1137667691971,2728.764975865752,2000-04-06T00:00:00,14,K/W
1898.3834302364712,3306.5869253373,2000-04-06T00:00:00,15,R/N
1398.7631339991653,2615.668415195981,2000-04-06T00:00:00,16,M/E
1411.175945055432,2492.2736981765593,2000-04-06T00:00:00,17,M/W
1332.0316929155922,2342.6814045198616,2000-04-06T00:00:00,18,H/E
1394.2693705502393,2465.5582239139403,2000-04-06T00:00:00,19,K/E
1624.744379243536,2950.7366612392516,2000-04-06T00:00:00,20,P/S
1469.1936672401405,2727.9115460509393,2000-04-06T00:00:00,21,P/N
1210.4979030031634,2188.624611598438,2000-04-22T00:00:00,1,A
933.8954679964979,1618.516629782503,2000-04-22T00:00:00,2,B
853.4138239038298,1414.0374120997706,2000-04-22T00:00:00,3,C
1303.2528865339364,2239.450039652971,2000-04-22T00:00:00,4,D
1210.7406059465366,2151.197869668796,2000-04-22T00:00:00,5,E
1178.0769378784723,1992.588352607983,2000-04-22T00:00:00,6,F/S
1428.2659974589965,2346.300234003525,2000-04-22T00:00:00,7,G/S
1372.309867961009,2255.2066213099056,2000-04-22T00:00:00,8,F/N
1285.060213636528,2164.7825619771897,2000-04-22T00:00:00,9,G/N
1466.9713155053287,2668.451103484368,2000-04-22T00:00:00,10,N
1967.5232279280594,3585.339633387588,2000-04-22T00:00:00,11,R/C
1653.65330827734,2874.7097777000295,2000-04-22T00:00:00,22,R/S
1420.2704167524137,2171.2504170673506,2000-04-22T00:00:00,23,H/W
1228.6750706619935,2056.036481712882,2000-04-22T00:00:00,24,L
1803.227632110868,3113.492367519474,2000-04-22T00:00:00,12,S
1913.744778581863,3506.3614019528736,2000-04-22T00:00:00,13,T
1589.2027225797767,2542.209582083898,2000-04-22T00:00:00,14,K/W
2027.0718683562907,3471.4408366145667,2000-04-22T00:00:00,15,R/N
1658.5620321702,2976.378187516601,2000-04-22T00:00:00,16,M/E
1623.2664016585204,2699.0063870999397,2000-04-22T00:00:00,17,M/W
1444.7747869268078,2325.7933051537048,2000-04-22T00:00:00,18,H/E
1507.5678802989887,2482.972360163716,2000-04-22T00:00:00,19,K/E
1941.1769144755633,3299.244200126827,2000-04-22T00:00:00,20,P/S
1637.8563392874844,2939.6840645417333,2000-04-22T00:00:00,21,P/N
1185.0394346252533,1941.5195165753075,2000-05-08T00:00:00,1,A
763.9601941628989,1398.9946785756988,2000-05-08T00:00:00,2,B
903.0418242561653,1538.3962428091172,2000-05-08T00:00:00,3,C
1166.7688025255557,2137.1582990805514,2000-05-08T00:00:00,4,D
1220.7960505552373,2068.201160883432,2000-05-08T00:00:00,5,E
1223.0066523425387,2038.8780402741363,2000-05-08T00:00:00,6,F/S
1248.0007652056095,2169.033380142196,2000-05-08T00:00:00,7,G/S
1217.2674685953136,1905.0120679326471,2000-05-08T00:00:00,8,F/N
1334.1624680132368,2077.643744698215,2000-05-08T00:00:00,9,G/N
1418.5643665139112,2373.959478794361,2000-05-08T00:00:00,10,N
1812.3674195625408,3378.3419930767536,2000-05-08T00:00:00,11,R/C
1514.614359133691,2803.736382386224,2000-05-08T00:00:00,22,R/S
1420.998663867825,2275.570386521309,2000-05-08T00:00:00,23,H/W
1317.3363786039147,2157.2907926071016,2000-05-08T00:00:00,24,L
2010.0283459569848,3160.233913991417,2000-05-08T00:00:00,12,S
1923.6544544751596,3407.3601357133534,2000-05-08T00:00:00,13,T
1602.4691062333366,2568.3126499311898,2000-05-08T00:00:00,14,K/W
1864.4412871151223,3394.3458450827648,2000-05-08T00:00:00,15,R/N
1548.846307101084,2552.642524960156,2000-05-08T00:00:00,16,M/E
1567.6239340978534,2519.6518881956367,2000-05-08T00:00:00,17,M/W
1685.456589523871,2502.9223547284305,2000-05-08T00:00:00,18,H/E
1457.1404181023847,2468.500011800864,2000-05-08T00:00:00,19,K/E
1784.9325888249552,3280.5856826716363,2000-05-08T00:00:00,20,P/S
1483.8827307214615,2751.5874579468364,2000-05-08T00:00:00,21,P/N
1346.4145175469855,1923.0230485573693,2000-05-24T00:00:00,1,A
866.0424728031691,1348.8839167848885,2000-05-24T00:00:00,2,B
1103.4107915162774,1647.0463601492388,2000-05-24T00:00:00,3,C
1747.3316845955485,2555.751201567117,2000-05-24T00:00:00,4,D
1543.6724680436882,2193.4422838613227,2000-05-24T00:00:00,5,E
1535.142130736189,2084.628650097889,2000-05-24T00:00:00,6,F/S
1608.0224548876154,2453.610162387724,2000-05-24T00:00:00,7,G/S
1651.4251080949384,2183.439539648813,2000-05-24T00:00:00,8,F/N
1581.3774953968784,2345.1568415278834,2000-05-24T00:00:00,9,G/N
2045.5544774471289,3689.5576548169856,2000-05-24T00:00:00,10,N
2665.3610095494864,4474.574450713621,2000-05-24T00:00:00,11,R/C
2162.1868468819657,3905.4707750589455,2000-05-24T00:00:00,22,R/S
1984.831325821182,2643.451700261593,2000-05-24T00:00:00,23,H/W
1701.9905521026526,2706.532594261841,2000-05-24T00:00:00,24,L
2538.932811936541,4064.9580348446907,2000-05-24T00:00:00,12,S
2828.379380596441,4521.373419059269,2000-05-24T00:00:00,13,T
2151.8087931448867,3247.4181502197107,2000-05-24T00:00:00,14,K/W
2601.761614307083,4536.062366601628,2000-05-24T00:00:00,15,R/N
2244.033558781548,3416.126766391401,2000-05-24T00:00:00,16,M/E
